schedule_country,regime,serial_no,issue,block
IND,expanded_2017,58,hs6_030399_not_in_HS2012(HS2017),"030399 50% 03031200, 3031300, 03035700, 03036300, 03038400, 03036600 Fish fins, heads, tails, maws a"
IND,expanded_2017,59,hs6_030399_not_in_HS2012(HS2017),"030399 20% 03038910, 03038920, 03038930, 03038940, 03038950, 03038960, 03038970, 03038980 Swordfish "
IND,expanded_2017,65,hs6_030447_not_in_HS2012(HS2017),03044700 50% Rays and skates (Rajidae)
IND,expanded_2017,66,hs6_030448_not_in_HS2012(HS2017),03044800 50%
IND,expanded_2017,69,hs6_030456_not_in_HS2012(HS2017),03045600 50% Rays and skates (Rajidae)
IND,expanded_2017,70,hs6_030457_not_in_HS2012(HS2017),03045700 50%
IND,expanded_2017,74,hs6_030488_not_in_HS2012(HS2017),03048820 20% Rays and skates (Rajidae)
IND,expanded_2017,75,range_or_alternative,"03048930 20% 030461 to Frozen fillets of fish other than Swordfish,"
IND,expanded_2017,75,range_or_alternative,"03048930 20% 030461 to Frozen fillets of fish other than Swordfish,"
IND,expanded_2017,80,hs6_030496_not_in_HS2012(HS2017),"03049600 Osteochilus hasselti, Leptobarbus hoeveni, 50% Megalobrama spp. All Goods of Catla catla, L"
IND,expanded_2017,81,hs6_030497_not_in_HS2012(HS2017),"03049700 Osteochilus hasselti, Leptobarbus hoeveni, 50% Megalobrama spp."
IND,expanded_2017,93,hs6_030552_not_in_HS2012(HS2017),"03055200 50% Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), "
IND,expanded_2017,94,hs6_030553_not_in_HS2012(HS2017),"03055300 Muraenolepididae, other than cod ( Gadus 50% morhua, Gadus ogac, Gadus macrocephalus) Herri"
IND,expanded_2017,95,hs6_030554_not_in_HS2012(HS2017),"03055400 50% seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, creva"
IND,expanded_2017,105,hs6_030722_not_in_HS2012(HS2017),03072200 50% other
IND,expanded_2017,108,hs6_030732_not_in_HS2012(HS2017),03073200 50% Other
IND,expanded_2017,110,hs6_030752_not_in_HS2012(HS2017),03075200 50% other
IND,expanded_2017,112,hs6_030782_not_in_HS2012(HS2017),"03078200 (Strombus spp.) 50% Live, fresh or chilled"
IND,expanded_2017,116,no_code_textual,50% Guts of cattle for natural food casings
IND,expanded_2017,144,hs6_080521_not_in_HS2012(HS2017),08052100 satsumas) 20% Clementines
IND,expanded_2017,145,hs6_080522_not_in_HS2012(HS2017),08052200 20% Other
IND,expanded_2017,146,hs6_080529_not_in_HS2012(HS2017),08052900 20% Fresh
IND,expanded_2017,307,hs6_220291_not_in_HS2012(HS2017),"22029100 50% Soya milk drinks, whether or not"
IND,expanded_2017,308,hs6_220299_not_in_HS2012(HS2017),22029910 sweetened or flavoured 50% Fruit pulp or fruit juice based drink
IND,expanded_2017,309,hs6_220299_not_in_HS2012(HS2017),22029920 50% Beverages containing milk
IND,expanded_2017,310,hs6_220299_not_in_HS2012(HS2017),22029930 50% Other
IND,expanded_2017,311,hs6_220299_not_in_HS2012(HS2017),22029990 50% Meat meals and pellets (including
IND,expanded_2017,346,range_or_alternative,26011139 80% 26011141 to Iron ore fines (below 62% Fe) 80% 26011149 Iron ore concentrates
IND,expanded_2017,346,range_or_alternative,26011139 80% 26011141 to Iron ore fines (below 62% Fe) 80% 26011149 Iron ore concentrates
IND,expanded_2017,346,range_or_alternative,26011139 80% 26011141 to Iron ore fines (below 62% Fe) 80% 26011149 Iron ore concentrates
IND,expanded_2017,347,no_code_textual,
IND,expanded_2017,393,hs6_285390_not_in_HS2012(HS2017),"28539090 ferrophosphorus, of copper (phosphor 80% copper), containing more than 15% by weight of pho"
IND,expanded_2017,450,hs6_300441_not_in_HS2012(HS2017),30044100 40% Containing pseudoephedrine (INN) or its
IND,expanded_2017,451,hs6_300442_not_in_HS2012(HS2017),30044200 salts 40% Containing norephedrine or its salts
IND,expanded_2017,452,hs6_300443_not_in_HS2012(HS2017),30044300 40% Atropin and salts thereof
IND,expanded_2017,453,hs6_300449_not_in_HS2012(HS2017),30044910 40% Caffein and salts thereof
IND,expanded_2017,454,hs6_300449_not_in_HS2012(HS2017),"30044920 40% Codeine and derivatives, with or without"
IND,expanded_2017,455,hs6_300449_not_in_HS2012(HS2017),"30044930 ephidrine hydrochloride 40% Ergot preparations, ergotamine and salts"
IND,expanded_2017,456,hs6_300449_not_in_HS2012(HS2017),30044940 thereof 40% Papavarine hydrochloride
IND,expanded_2017,457,hs6_300449_not_in_HS2012(HS2017),30044950 40% Bromohexin and solbutamol
IND,expanded_2017,458,hs6_300449_not_in_HS2012(HS2017),30044960 40% Theophylline and salts thereof
IND,expanded_2017,459,hs6_300449_not_in_HS2012(HS2017),30044970 40% Other
IND,expanded_2017,460,hs6_300449_not_in_HS2012(HS2017),30044990 40% Heamatinics and Erythropoyetin
IND,expanded_2017,472,hs6_300460_not_in_HS2012(HS2017),30046000 40% 2 to this Chapter Of Ayurvedic System
IND,expanded_2017,593,hs6_380859_not_in_HS2012(HS2017),38085900 Fungicides of sub-heading 380892 80% Maneb
IND,expanded_2017,601,hs6_381231_not_in_HS2012(HS2017),"38123100 1, 2-dihydroquinoline (TMQ) 80% Anti-oxidants for rubber"
IND,expanded_2017,602,hs6_381239_not_in_HS2012(HS2017),38123910 80% Softeners for rubber
IND,expanded_2017,603,hs6_381239_not_in_HS2012(HS2017),38123920 80% Vulcanizing agents for rubber
IND,expanded_2017,604,hs6_381239_not_in_HS2012(HS2017),38123930 80% Other
IND,expanded_2017,605,hs6_381239_not_in_HS2012(HS2017),38123990 80% Other
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_382484_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_382485_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_382486_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_382487_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_382488_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_382491_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
