hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_aap_covered_p0,d_aap_covered_p1,d_aap_covered_only_p1,d_aap_covered_only_p0,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
390930,392810929.0,1118737020.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0003304372849229,0.0005381370290057,0.0,0.0,0.0002076997440828,0.0,0.0,0.0,130936976.33333331,372912340.0,184.8029261426176,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,39,3909,"Amino-resins: n.e.c. in heading no. 3909, in primary forms"
401693,701148713.9999999,1115406073.0,10551.0,38866.0,1188760914470.0,2078907340881.0,0.0005898147436253,0.0005365347704853,1.5048162806728049e-05,3.484470897263978e-05,-5.327997313998411e-05,1.979654616591173e-05,3517.0,12955.333333333334,233716238.0,371802024.3333333,59.08266687628843,268.3631883233817,0,0,0,0,0,1,3,estrella_menguante,0,0,0,0,0,0,0,0,0,,,0,0,40,4016,"Rubber: vulcanised (other than hard rubber), gaskets, washers and other seals, of non-cellular rubber"
890690,652157763.0,1109238329.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0005486029655431,0.0005335679504262,0.0,0.0,-1.5035015116856816e-05,0.0,0.0,0.0,217385921.0,369746109.6666667,70.08742238954227,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,89,8906,"Vessels: other, including lifeboats other than rowing boats, other than warships"
391239,545432555.0,1108421124.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0004588244350573,0.0005331748569083,0.0,0.0,7.435042185098957e-05,0.0,0.0,0.0,181810851.66666663,369473708.0,103.21873233254296,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,39,3912,"Cellulose ethers: (other than carboxymethylcellulose and its salts), in primary forms"
854810,182396397.0,1107611917.0,28397.0,0.0,1188760914470.0,2078907340881.0,0.0001534340461398,0.0005327856106037,0.0001556883823752,0.0,0.0003793515644639,-0.0001556883823752,9465.666666666666,0.0,60798799.0,369203972.3333333,507.2553708393703,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,85,8548,"Waste and scrap of primary cells, primary batteries and electric accumulators: spent primary cells, spent primary batteries and spent electric accumulators"
230990,760844348.0000001,1106665092.0,756263.0,178388.0,1188760914470.0,2078907340881.0,0.0006400314299862,0.0005323301670246,0.0009939786002064,0.0001611942052654,-0.0001077012629615,-0.0008327843949409,252087.66666666663,59462.66666666666,253614782.66666672,368888364.0,45.45223276075383,-76.41190961345458,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,23,2309,"Dog or cat food: (not put up for retail sale), used in animal feeding"
720260,835919326.0,1106575699.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0007031854057657,0.0005322871670322,0.0,0.0,-0.0001708982387335,0.0,0.0,0.0,278639775.3333333,368858566.3333333,32.3782887393131,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,72,7202,Ferro-alloys: ferro-nickel
391000,531376592.0,1091487959.0,0.0,8.0,1188760914470.0,2078907340881.0,0.0004470003896762,0.0005250296333733,0.0,7.329444117120123e-09,7.802924369712739e-05,7.329444117120123e-09,0.0,2.6666666666666665,177125530.66666666,363829319.6666667,105.4076102396321,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,0,0,0,0,,,0,0,39,3910,Silicones: in primary forms
841430,624513926.0,1084437773.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0005253486368858,0.0005216383393693,0.0,0.0,-3.710297516467168e-06,0.0,0.0,0.0,208171308.66666663,361479257.6666667,73.64509066207756,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,84,8414,Compressors: of a kind used in refrigerating equipment
848071,799951178.0000001,1081426897.0,3481.0,0.0,1188760914470.0,2078907340881.0,0.000672928566428,0.0005201900420158,4.351515562115967e-06,0.0,-0.0001527385244121,-4.351515562115967e-06,1160.3333333333333,0.0,266650392.66666672,360475632.3333333,35.18661222597761,-100.0,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,84,8480,"Moulds: for rubber or plastics, injection or compression types"
