iso3,year,gdp_current_usd,gdp_constant_usd,population,gdp_per_capita_usd,official_exchange_rate,cpi_index,trade_openness_pct_gdp
CHL,2012,267024782486.855,225695909224.96,17519119,15241.9069981119,486.471303391053,106.449150720275,68.1561435339271
CHL,2013,277395018842.417,233163076995.037,17687006,15683.5486369155,495.272877645503,108.354117394109,65.1432877063737
CHL,2014,259560978224.359,237342873662.271,17864195,14529.6767206336,570.34821612744,113.466996344872,65.6346274347707
CHL,2015,242450355830.884,242450355830.884,18047625,13433.9202987032,654.124084254196,118.401419049667,59.3491105681231
CHL,2016,249344863928.438,246700604515.86,18267221,13649.8520452803,676.957736044657,122.884325951408,56.0578603070995
CHL,2017,276154259981.097,250050047209.619,18558868,14879.9086227187,648.833792598261,125.566544829069,56.0261586393213
CHL,2018,295857562991.709,260027117802.785,18893191,15659.4808675628,641.276813066395,128.623951838314,58.1770513035882
CHL,2019,278308438545.118,261702273348.86,19197744,14496.9345640362,702.897422561529,131.913566974844,57.6069157856537
CHL,2020,254103710483.324,245634546877.039,19370624,13117.9930230086,792.727206103169,135.93098258439,58.1687693933374
CHL,2021,315507493783.262,273483125955.671,19456334,16216.1840860289,758.955378658977,142.08127284455,64.8399924791736
CHL,2022,301099244104.003,279127595176.477,19553036,15399.1044717559,873.314189543014,158.625026875941,75.2334197533759
CHL,2023,335802745366.38,281017358307.658,19658835,17081.5180740049,840.066526651499,170.651472801548,60.6766444736157
CHL,2024,329260633698.726,288900250332.819,19764771,16658.9652720351,943.572167421488,177.985456906926,63.9577465302563
IND,2012,1827637590410.41,1704596203504.08,1278674502,1429.32199520032,53.4372333333333,119.235538897084,55.7937217287511
IND,2013,1856721507621.58,1813453530765.84,1295829511,1432.84397512195,58.5978454166667,131.18041028234,53.8441319466777
IND,2014,2039126479154.52,1947834564909.58,1312277191,1553.88396075118,61.0295144607843,139.924446113916,48.9221857470669
IND,2015,2103588360044.94,2103588360044.94,1328024498,1583.99815907985,64.1519444632786,146.790501522573,41.9229138658647
IND,2016,2294796885663.16,2277267041549.85,1343944296,1707.50892912243,67.1953128073894,154.054013105393,40.082485713276
IND,2017,2651474262755.45,2432016068498.23,1359657400,1950.10468280866,65.1215686450659,159.18119775209,40.7424969545225
IND,2018,2702929641648.74,2588974770244.48,1374659064,1966.25455171679,68.3894670935422,165.451068899504,43.6169693323889
IND,2019,2835606256558.19,2689205295885.26,1389030312,2041.42863698585,70.4203405359551,171.621576003377,39.9054035306442
IND,2020,2674851578587.27,2533830417086.36,1402617695,1907.04251637669,74.0995668836052,182.988822584425,37.7581053292768
IND,2021,3167270623260.47,2779348258938.28,1414203896,2239.61384367482,73.9180128154351,192.378724699015,45.4230887840446
IND,2022,3249938492013.47,2990839011962.06,1425423212,2279.98145719369,78.6044905829916,205.266241146235,50.6979382758042
IND,2023,3500906030644.76,3206485223026.3,1438069596,2434.44826340989,82.5992764460784,216.862025027426,46.3229520582338
IND,2024,3760813470500.86,3434122552914.77,1450935791,2591.9916607122,83.669281580941,227.603278134168,45.9166907678748
