year,direction,hs6,trade_value_usd,quantity_tons
2013,IND_CHL,285210,4207.0,0.253
2013,IND_CHL,290219,653.0,0.075
2013,IND_CHL,290522,1051.0,0.007
2013,IND_CHL,290531,56348.0,41.185
2013,IND_CHL,290539,17470.0,6.044
2013,IND_CHL,290544,2.0,0.001
2013,IND_CHL,290950,119386.0,5.587
2013,IND_CHL,291249,197.0,0.005
2013,IND_CHL,291439,21534.0,2.084
2013,IND_CHL,291613,167.0,0.001
2013,IND_CHL,291619,86522.0,3.156
2013,IND_CHL,291639,718083.0,51.835
2013,IND_CHL,291711,155.0,0.021
2013,IND_CHL,291813,3586.0,0.5
2013,IND_CHL,291815,865.0,0.054
2013,IND_CHL,291819,3253.0,0.125
2013,IND_CHL,292119,24477.0,0.083
2013,IND_CHL,292121,1806.0,0.201
2013,IND_CHL,292151,6540.0,0.044
2013,IND_CHL,292159,359071.0,62.668
2013,IND_CHL,292411,568.0,
2013,IND_CHL,292419,5137.0,0.009
2013,IND_CHL,292511,9600.0,0.3
2013,IND_CHL,293090,121114.0,0.773
2013,IND_CHL,293333,1704.0,0.002
2013,IND_CHL,293339,1343628.0,18.049
2013,IND_CHL,293369,427053.0,1.344
2013,IND_CHL,293719,82292.0,0.024
2013,IND_CHL,293721,1903.0,0.022
2013,IND_CHL,293930,218425.0,20.0
2013,IND_CHL,293941,3358.0,0.042
2013,IND_CHL,293949,8004.0,0.2
2013,IND_CHL,300220,860889.0,3.601
2013,IND_CHL,300290,2737.0,0.025
2013,IND_CHL,300331,485781.0,7.03
2013,IND_CHL,300431,2782592.0,41.637
2013,IND_CHL,300432,3173080.0,66.288
2013,IND_CHL,300439,141515.0,2.21
2013,IND_CHL,300450,56250.0,1.554
2013,IND_CHL,320412,863866.0,140.275
2013,IND_CHL,320420,850312.0,256.532
2013,IND_CHL,320611,67963.0,10.967
2013,IND_CHL,320649,83370.0,63.452
2013,IND_CHL,320710,38940.0,13.8
2013,IND_CHL,320820,12565.0,3.072
2013,IND_CHL,321390,43.0,0.005
2013,IND_CHL,330124,17729.0,0.697
2013,IND_CHL,330129,55829.0,1.561
2013,IND_CHL,330420,23527.0,2.412
2013,IND_CHL,330499,28050.0,2.629
2013,IND_CHL,330730,7193.0,2.406
2013,IND_CHL,330741,4057769.0,450.697
2013,IND_CHL,340120,75.0,
2013,IND_CHL,340220,235.0,0.009
2013,IND_CHL,340490,120992.0,38.106
2013,IND_CHL,340700,4276.0,1.598
2013,IND_CHL,350400,1980.0,0.055
2013,IND_CHL,350710,203.0,0.05
2013,IND_CHL,360500,1276093.0,470.347
2013,IND_CHL,370610,72360.0,1.567
2013,IND_CHL,380610,4.0,0.002
2013,IND_CHL,380891,54871.0,11.115
2013,IND_CHL,380993,9350.0,5.0
2013,IND_CHL,382490,1794185.0,720.559
2013,IND_CHL,390210,4802661.0,3008.947
2013,IND_CHL,390290,4.0,0.009
2013,IND_CHL,390319,308719.0,33.0
2013,IND_CHL,390512,554.0,0.022
2013,IND_CHL,390810,6290.0,2.0
2013,IND_CHL,391620,960.0,1.196
2013,IND_CHL,391721,12545.0,4.704
2013,IND_CHL,391733,692.0,0.001
2013,IND_CHL,391910,2919.0,0.082
2013,IND_CHL,392330,46002.0,5.385
2013,IND_CHL,392350,88152.0,12.508
2013,IND_CHL,392490,35584.0,6.159
2013,IND_CHL,400610,835.0,0.3
2013,IND_CHL,400821,851232.0,137.353
2013,IND_CHL,400912,828.0,0.035
2013,IND_CHL,400922,19620.0,0.892
2013,IND_CHL,400931,108460.0,1.795
2013,IND_CHL,401034,21982.0,2.943
2013,IND_CHL,401039,327609.0,36.14
2013,IND_CHL,401110,157925.0,28.565
2013,IND_CHL,401150,7829.0,1.275
2013,IND_CHL,401192,1568298.0,322.619
2013,IND_CHL,401193,36433.0,7.589
2013,IND_CHL,401290,73940.0,25.083
2013,IND_CHL,401610,3273.0,0.433
2013,IND_CHL,401691,104813.0,54.074
2013,IND_CHL,401700,159.0,0.02
2013,IND_CHL,411390,3439.0,0.1
2013,IND_CHL,420211,19355.0,0.384
2013,IND_CHL,420291,201315.0,3.032
2013,IND_CHL,420340,1609362.0,122.736
2013,IND_CHL,441299,23682.0,15.472
2013,IND_CHL,441820,1839.0,0.618
2013,IND_CHL,480256,31257.0,36.0
2013,IND_CHL,480890,189.0,0.013
2013,IND_CHL,481190,58395.0,14.841
2013,IND_CHL,481620,19682.0,10.75
2013,IND_CHL,481910,7730.0,5.507
2013,IND_CHL,481920,17216.0,4.283
2013,IND_CHL,482020,215.0,
2013,IND_CHL,482030,540.0,1.241
2013,IND_CHL,490600,146.0,0.08
2013,IND_CHL,491000,2235.0,0.12
2013,IND_CHL,500200,6070.0,0.109
2013,IND_CHL,500710,20169.0,0.212
2013,IND_CHL,500720,343633.0,1.529
2013,IND_CHL,511290,8420.0,0.135
2013,IND_CHL,520210,24544.0,13.412
2013,IND_CHL,520419,74.0,
